Incident ID,Date,Business Unit,Incident Type,Severity,Root Cause,Downtime (minutes),Customers Affected,Contractor Involved,SLA Breach,Vendor,Description
DU-INC-1025,2026-01-18,Radio Access Network,Antenna Misalignment,Medium,External Factor (cable cut / power),42,13187,No,No,Ericsson,Field engineer reported antenna tilt out of spec following recent Ericsson contractor maintenance visit. Coverage hole in adjacent sector.
DU-INC-1026,2026-01-21,Data Centre & Cloud,Cooling Failure,High,Change Management Failure,105,112928,No,Yes,Cisco,CRAC unit failure raised hot-aisle temperature; workload migrated within 105 minutes. Maintenance contract review needed.
DU-INC-1027,2026-01-22,Transport & Backhaul,Hardware Failure,Low,Human Error,9,866,No,No,Local Contractor B,Disk array failure in Transport & Backhaul. Hot-spare engaged but rebuild took 9 minutes; RPO target missed by 6 minutes.
DU-INC-1028,2026-01-23,Customer Apps & Digital,Login Failure,Medium,Human Error,34,14372,No,No,Oracle,MFA service degradation prevented logins for 34 minutes. Suspected misconfigured certificate rotation.
DU-INC-1029,2026-01-25,IT Systems,CRM Outage,Medium,Change Management Failure,20,2570,Yes,No,Local Contractor B,Salesforce-integrated CRM unavailable in retail for 20 minutes. Root cause traced to an unauthorised configuration change.
DU-INC-1030,2026-01-25,Radio Access Network,Site Down,Medium,Software Defect,8,1743,No,No,Local Contractor B,Site down following power outage from utility provider. Generator failed to start. No recent fuel-level test on record.
DU-INC-1031,2026-01-25,Radio Access Network,Cell Congestion,Low,Change Management Failure,17,259,Yes,No,Huawei,Mall-area cell congestion during weekend. Temporary cell on wheels (COW) deployed. Recurring pattern — same site last quarter.
DU-INC-1032,2026-01-25,IT Systems,Software Bug,High,Change Management Failure,72,75007,Yes,Yes,Oracle,Memory leak in Oracle module caused service restart loop on IT Systems. Hotfix applied after 72 minutes.
DU-INC-1033,2026-01-28,Core Network,Software Bug,Medium,Change Management Failure,18,13867,Yes,No,Huawei,Memory leak in Huawei module caused service restart loop on Core Network. Hotfix applied after 18 minutes.
DU-INC-1034,2026-01-28,Radio Access Network,Cell Congestion,Medium,Hardware Failure,40,432,No,No,Cisco,Mall-area cell congestion during weekend. Temporary cell on wheels (COW) deployed. Recurring pattern — same site last quarter.
DU-INC-1035,2026-01-28,Radio Access Network,Site Down,Low,Change Management Failure,2,320,Yes,No,Local Contractor A,RAN site offline for 2 minutes. Field team dispatched. Root cause was contractor disconnecting wrong fibre during civil works.
DU-INC-1036,2026-01-29,Core Network,Service Outage,Low,Software Defect,2,1052,Yes,No,Local Contractor A,"Full outage on Core Network affecting 1,052 customers for 2 minutes. Initial triage pointed to Software Defect; rollback restored service."
DU-INC-1037,2026-01-29,IT Systems,Billing System Error,High,Capacity Planning Gap,25,167879,Yes,No,Ericsson,"Duplicate charges generated for 167,879 prepaid customers; rollback issued and credits applied. Caused by change pushed without proper QA sign-off."
DU-INC-1038,2026-01-29,Security & Cyber,Near Miss,Medium,Process Gap,28,3059,No,No,Huawei,Phishing email reached one director's inbox before the rule kicked in; user did not click. Near miss only.
DU-INC-1039,2026-01-31,Core Network,Signalling Storm,Critical,Change Management Failure,308,195149,No,Yes,Local Contractor B,Mass device re-registration triggered a signalling storm; suspect cause is an upstream Local Contractor B firmware push without a coordinated change window on Core Network.
DU-INC-1040,2026-02-01,Radio Access Network,Hardware Failure,Low,Process Gap,7,1402,No,No,Huawei,Line card failure on Huawei node. Hardware was end-of-support — replacement on the deferred-capex list.
DU-INC-1041,2026-02-01,Core Network,Service Outage,High,Vendor / Contractor Error,128,62367,Yes,Yes,Local Contractor B,"Major incident: Core Network subsystem failed during a planned change window. Permit-to-work was issued but back-out plan was incomplete. 62,367 customers impacted."
DU-INC-1042,2026-02-02,Radio Access Network,Performance Degradation,Medium,Inadequate Testing,17,7190,No,No,Oracle,Throughput dropped 30% during evening peak; capacity headroom had been flagged in the previous capacity review.
DU-INC-1043,2026-02-02,Data Centre & Cloud,Network Failure,Low,Change Management Failure,15,151,Yes,No,Huawei,Top-of-rack switch failure isolated a single rack; workloads auto-failed-over. Change push the previous evening was the suspected trigger.
DU-INC-1044,2026-02-02,Core Network,Configuration Error,Critical,Configuration Drift,360,93506,No,Yes,Oracle,Misconfiguration pushed to production during a change window. Change ticket CHG-32962 bypassed peer review. Core Network affected.
DU-INC-1045,2026-02-04,Transport & Backhaul,Fibre Cable Cut,Medium,External Factor (cable cut / power),51,5508,No,No,Ericsson,Third-party civil works severed backbone fibre. No-dig permit not enforced in this corridor — external factor.
DU-INC-1046,2026-02-04,Customer Apps & Digital,Login Failure,High,Configuration Drift,145,43953,No,Yes,Local Contractor A,MFA service degradation prevented logins for 145 minutes. Suspected misconfigured certificate rotation.
DU-INC-1047,2026-02-06,Radio Access Network,Antenna Misalignment,Medium,Human Error,33,7102,No,No,Ericsson,Field engineer reported antenna tilt out of spec following recent Ericsson contractor maintenance visit. Coverage hole in adjacent sector.
DU-INC-1048,2026-02-07,Customer Apps & Digital,Push Notification Failure,High,Capacity Planning Gap,37,17012,No,No,Oracle,Push notifications failed for 6 hours; outage on Oracle notification service. Backlog drained slowly. Customer-facing comms were delayed.
DU-INC-1049,2026-02-09,IT Systems,Database Failure,Medium,External Factor (cable cut / power),52,18135,No,No,Local Contractor A,Production DB went read-only after a failed schema migration. Migration ran outside the standard change window.
DU-INC-1050,2026-02-10,Transport & Backhaul,Fibre Cable Cut,Low,Software Defect,6,1342,No,No,Local Contractor A,Third-party civil works severed backbone fibre. No-dig permit not enforced in this corridor — external factor.
DU-INC-1051,2026-02-10,Customer Apps & Digital,Performance Degradation,Medium,Inadequate Testing,36,1313,Yes,No,Microsoft,Sustained latency above SLA threshold on Customer Apps & Digital. Trend was visible in dashboards for 48 hours before alert fired.
DU-INC-1052,2026-02-11,Radio Access Network,Hardware Failure,Low,External Factor (cable cut / power),8,167,No,No,Local Contractor B,Line card failure on Local Contractor B node. Hardware was end-of-support — replacement on the deferred-capex list.
DU-INC-1053,2026-02-11,Customer Apps & Digital,Login Failure,Medium,Capacity Planning Gap,38,13602,No,No,Ericsson,MFA service degradation prevented logins for 38 minutes. Suspected misconfigured certificate rotation.
DU-INC-1054,2026-02-14,Security & Cyber,DDoS Attack,Medium,Change Management Failure,58,17900,No,No,Local Contractor B,"Volumetric DDoS attack targeting public DNS endpoint. Scrubbing engaged. Peak 17,900 packets/sec."
DU-INC-1055,2026-02-14,Transport & Backhaul,Capacity Saturation,Medium,Software Defect,31,16335,No,No,AWS,Traffic surge during peak hours saturated Transport & Backhaul. Capacity forecast had flagged this risk in the last quarterly review but no action was taken.
DU-INC-1056,2026-02-15,Radio Access Network,Performance Degradation,Medium,Inadequate Testing,45,3283,No,No,Huawei,Throughput dropped 30% during evening peak; capacity headroom had been flagged in the previous capacity review.
DU-INC-1057,2026-02-17,Customer Apps & Digital,Push Notification Failure,Critical,Change Management Failure,366,729804,Yes,Yes,Nokia,Push notifications failed for 6 hours; outage on Nokia notification service. Backlog drained slowly. Customer-facing comms were delayed.
DU-INC-1058,2026-02-22,Transport & Backhaul,Microwave Link Down,Medium,Human Error,33,665,Yes,No,Cisco,Microwave link down after sandstorm. Weather event — external factor. Standby link took 12 minutes to converge.
DU-INC-1059,2026-02-24,Core Network,Service Outage,Low,Change Management Failure,17,407,No,No,Local Contractor B,Major incident: Core Network subsystem failed during a planned change window. Permit-to-work was issued but back-out plan was incomplete. 407 customers impacted.
DU-INC-1060,2026-02-24,Transport & Backhaul,Fibre Cable Cut,Medium,Vendor / Contractor Error,8,13293,No,No,Nokia,Third-party civil works severed backbone fibre. No-dig permit not enforced in this corridor — external factor.
DU-INC-1061,2026-02-24,Customer Apps & Digital,App Crash,Low,Hardware Failure,5,904,No,No,AWS,du app crashed for iOS users after vendor SDK update. Crash rate spiked to 14% before rollback. Change had not gone through full release-gate testing.
DU-INC-1062,2026-02-25,Core Network,Capacity Saturation,Medium,Vendor / Contractor Error,51,9940,Yes,No,AWS,"Sustained 95%+ utilisation on Core Network; throttling kicked in and degraded 9,940 customers' experience."
DU-INC-1063,2026-02-26,Radio Access Network,Antenna Misalignment,Critical,Change Management Failure,377,176312,Yes,Yes,Nokia,Field engineer reported antenna tilt out of spec following recent Nokia contractor maintenance visit. Coverage hole in adjacent sector.
DU-INC-1064,2026-02-27,IT Systems,Billing System Error,High,Change Management Failure,128,94194,Yes,Yes,Cisco,"Duplicate charges generated for 94,194 prepaid customers; rollback issued and credits applied. Caused by change pushed without proper QA sign-off."
DU-INC-1065,2026-02-27,Security & Cyber,Near Miss,High,Capacity Planning Gap,90,141655,No,Yes,Cisco,Phishing email reached one director's inbox before the rule kicked in; user did not click. Near miss only.
DU-INC-1066,2026-02-28,IT Systems,Integration Failure,Low,Inadequate Testing,2,565,No,No,AWS,API gateway failure between IT Systems and Customer Apps. Vendor cert expired — process gap on renewal tracking.
DU-INC-1067,2026-02-28,Security & Cyber,DDoS Attack,Critical,Vendor / Contractor Error,181,849778,Yes,Yes,Oracle,"Volumetric DDoS attack targeting public DNS endpoint. Scrubbing engaged. Peak 849,778 packets/sec."
DU-INC-1068,2026-03-01,IT Systems,Integration Failure,Critical,Human Error,284,218698,No,Yes,AWS,API gateway failure between IT Systems and Customer Apps. Vendor cert expired — process gap on renewal tracking.
DU-INC-1069,2026-03-01,Data Centre & Cloud,Cooling Failure,Medium,Process Gap,50,9059,No,No,Local Contractor A,CRAC unit failure raised hot-aisle temperature; workload migrated within 50 minutes. Maintenance contract review needed.
DU-INC-1070,2026-03-02,IT Systems,Integration Failure,High,Change Management Failure,169,119264,Yes,Yes,Local Contractor A,API gateway failure between IT Systems and Customer Apps. Vendor cert expired — process gap on renewal tracking.
DU-INC-1071,2026-03-06,Security & Cyber,DDoS Attack,Low,Human Error,9,693,No,No,Local Contractor A,Volumetric DDoS attack targeting public DNS endpoint. Scrubbing engaged. Peak 693 packets/sec.
DU-INC-1072,2026-03-07,Core Network,Configuration Error,Low,Change Management Failure,7,826,Yes,No,Cisco,Misconfiguration pushed to production during a change window. Change ticket CHG-91183 bypassed peer review. Core Network affected.
DU-INC-1073,2026-03-07,IT Systems,Software Bug,Medium,Capacity Planning Gap,48,10271,Yes,No,Cisco,Regression introduced by vendor patch from Cisco. Patch was deployed without full UAT sign-off — testing gap.
DU-INC-1074,2026-03-11,Radio Access Network,Performance Degradation,High,Vendor / Contractor Error,35,48495,No,No,Oracle,Throughput dropped 30% during evening peak; capacity headroom had been flagged in the previous capacity review.
DU-INC-1075,2026-03-12,Radio Access Network,Site Down,Critical,Change Management Failure,119,274470,No,Yes,Ericsson,RAN site offline for 119 minutes. Field team dispatched. Root cause was contractor disconnecting wrong fibre during civil works.
DU-INC-1076,2026-03-12,Customer Apps & Digital,Performance Degradation,Medium,Capacity Planning Gap,49,7925,No,No,Cisco,Throughput dropped 30% during evening peak; capacity headroom had been flagged in the previous capacity review.
DU-INC-1077,2026-03-13,Radio Access Network,Site Down,Medium,Process Gap,40,19611,No,No,Local Contractor A,RAN site offline for 40 minutes. Field team dispatched. Root cause was contractor disconnecting wrong fibre during civil works.
DU-INC-1078,2026-03-14,Data Centre & Cloud,Power Failure,Critical,Change Management Failure,451,922780,Yes,Yes,Cisco,Power distribution unit failed; redundant PDU took the load. Vendor replacement deferred due to budget — flagged in last quarterly review.
DU-INC-1079,2026-03-17,IT Systems,Billing System Error,Low,Human Error,5,102,No,No,Microsoft,Batch billing job failed overnight on IT Systems. Vendor-supplied job had a missing dependency after recent patch — UAT did not cover the new code path.
DU-INC-1080,2026-03-19,Radio Access Network,Cell Congestion,Low,Hardware Failure,16,1000,No,No,Huawei,Mall-area cell congestion during weekend. Temporary cell on wheels (COW) deployed. Recurring pattern — same site last quarter.
DU-INC-1081,2026-03-19,Data Centre & Cloud,Power Failure,Medium,Hardware Failure,7,14388,Yes,No,Local Contractor B,"Single-feed power failure at DC-2; UPS engaged, generator started within 38 seconds. No customer impact but flagged as Critical risk for review."
DU-INC-1082,2026-03-23,Core Network,Capacity Saturation,Low,Change Management Failure,3,1385,No,No,Local Contractor B,Traffic surge during peak hours saturated Core Network. Capacity forecast had flagged this risk in the last quarterly review but no action was taken.
DU-INC-1083,2026-03-23,Security & Cyber,Suspicious Access,Low,Change Management Failure,9,961,Yes,No,Microsoft,Unusual login pattern detected on a privileged account from a non-corporate IP. Account suspended pending investigation.
DU-INC-1084,2026-03-24,Radio Access Network,Cell Congestion,Critical,Change Management Failure,294,259675,Yes,Yes,Cisco,Mall-area cell congestion during weekend. Temporary cell on wheels (COW) deployed. Recurring pattern — same site last quarter.
DU-INC-1085,2026-03-24,Radio Access Network,Hardware Failure,High,Change Management Failure,112,171614,No,Yes,Local Contractor A,Line card failure on Local Contractor A node. Hardware was end-of-support — replacement on the deferred-capex list.
DU-INC-1086,2026-03-25,Data Centre & Cloud,Power Failure,Critical,Capacity Planning Gap,145,902312,No,Yes,Cisco,Power distribution unit failed; redundant PDU took the load. Vendor replacement deferred due to budget — flagged in last quarterly review.
DU-INC-1087,2026-03-26,Transport & Backhaul,Microwave Link Down,Low,External Factor (cable cut / power),6,1104,No,No,Cisco,Microwave link down after sandstorm. Weather event — external factor. Standby link took 12 minutes to converge.
DU-INC-1088,2026-03-26,Radio Access Network,Cell Congestion,Low,Change Management Failure,8,719,Yes,No,AWS,Mall-area cell congestion during weekend. Temporary cell on wheels (COW) deployed. Recurring pattern — same site last quarter.
DU-INC-1089,2026-03-26,Transport & Backhaul,Fibre Cable Cut,Medium,Change Management Failure,43,16376,No,No,Oracle,Third-party civil works severed backbone fibre. No-dig permit not enforced in this corridor — external factor.
DU-INC-1090,2026-03-27,IT Systems,Integration Failure,High,Capacity Planning Gap,77,21784,No,Yes,Local Contractor B,API gateway failure between IT Systems and Customer Apps. Vendor cert expired — process gap on renewal tracking.
DU-INC-1091,2026-03-27,Core Network,Software Bug,High,Inadequate Testing,38,120796,No,No,Oracle,Memory leak in Oracle module caused service restart loop on Core Network. Hotfix applied after 38 minutes.
DU-INC-1092,2026-03-29,IT Systems,Billing System Error,High,Change Management Failure,108,144655,Yes,Yes,Microsoft,Batch billing job failed overnight on IT Systems. Vendor-supplied job had a missing dependency after recent patch — UAT did not cover the new code path.
DU-INC-1093,2026-03-30,Transport & Backhaul,Fibre Cable Cut,High,Process Gap,117,88010,No,Yes,Local Contractor A,Third-party civil works severed backbone fibre. No-dig permit not enforced in this corridor — external factor.
DU-INC-1094,2026-03-31,Core Network,Service Outage,High,Change Management Failure,137,96660,Yes,Yes,Cisco,"Full outage on Core Network affecting 96,660 customers for 137 minutes. Initial triage pointed to Change Management Failure; rollback restored service."
DU-INC-1095,2026-03-31,Radio Access Network,Performance Degradation,Low,External Factor (cable cut / power),5,1260,No,No,AWS,Sustained latency above SLA threshold on Radio Access Network. Trend was visible in dashboards for 48 hours before alert fired.
